p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
-0.08653,0.005355,0.19893,0.274635,0.6965,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP0_UBF0
9.20996,14.3881525,20.06667,23.4466775,30.16526,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP0_UBF100
4.81959,7.8924425,11.591615,12.853175,16.08249,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP0_UBF50
48.00135,51.135525,53.21011,54.64694,55.88342,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP100_UBF0
59.186855,65.8532675,77.312455,79.3599375,82.31129,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP100_UBF100
55.891955,61.38295,65.57781,68.1854,69.293415,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP100_UBF50
24.26763,25.79947,27.16987,27.61507,28.06521,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP50_UBF0
36.55638,43.0443275,49.531655,50.9365775,54.786505,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP50_UBF100
31.23736,35.5258,39.560835,40.1297675,42.60138,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP50_UBF50
0.12265,0.17025,0.2662,0.332225,0.4752,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP0_UBF0
9.737975,12.658025,13.4945,13.6917125,17.550425,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP0_UBF100
4.979025,6.559025,7.163975,7.281425,9.19795,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP0_UBF50
48.37335,49.736825,51.987,55.599625,56.743475,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP100_UBF0
58.804075,61.328,62.91565,69.1332,73.3093,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP100_UBF100
53.36745,54.36965,57.36785,61.9672625,64.422525,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP100_UBF50
24.391675,25.027275,26.4789,28.4980875,28.815,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP50_UBF0
33.40575,35.438625,37.4802,41.6229,45.7168,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP50_UBF100
29.08485,30.28375,33.24575,34.8822,36.775875,DS_Mag_50,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP50_UBF50
0.006395,0.106,0.27607,0.38086,0.80471,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP0_UBF0
7.948225,13.38684,17.93963,21.0718525,26.27156,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP0_UBF100
4.16938,7.1799,10.31047,12.11732,14.34354,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP0_UBF50
48.112635,51.242925,53.32384,54.7821425,56.016145,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP100_UBF0
60.541485,67.94197,73.90092,76.9473725,79.114915,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP100_UBF100
55.28465,60.7229575,64.374725,66.3748125,67.2174,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP100_UBF50
24.36853,25.903585,27.30341,27.726885,28.17864,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP50_UBF0
35.332265,41.99194,47.523735,48.87185,53.27776,Wet_BFL_Mag_10,22514960,observed,SUSTAIN_Junction_21,LA14,Baseline_WRP50_UBF100
