"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
3431.233,3431.233,3431.233,3431.233,3431.233,"Peak_2",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
7350.34824,7350.34824,7350.34824,7350.34824,7350.34824,"Peak_5",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_10",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_5",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
186.5,197,207.5,219.5,247.5,"DS_Dur_WS",22515824,"observed","SUSTAIN_Junction_24","LA11","Aggressive_non_Infiltration_WRP0_UBF0"
210.4,224.5,230,234.5,238.8,"DS_Tim",22515824,"observed","SUSTAIN_Junction_24","LA11","Aggressive_non_Infiltration_WRP0_UBF0"
1.43055,1.4619375,1.5289,1.5593375,1.658925,"DS_Mag_50",22515824,"observed","SUSTAIN_Junction_24","LA11","Aggressive_non_Infiltration_WRP0_UBF0"
1.884135,2.116645,2.41436,2.6132925,2.8356,"DS_Mag_90",22515824,"observed","SUSTAIN_Junction_24","LA11","Aggressive_non_Infiltration_WRP0_UBF0"
1.6,2,3,3,3.4,"FA_Dur",22515824,"observed","SUSTAIN_Junction_24","LA11","Aggressive_non_Infiltration_WRP0_UBF0"
141.605316410879,171.016494520897,209.539211203087,357.031603060099,1061.88000926457,"FA_Mag",22515824,"observed","SUSTAIN_Junction_24","LA11","Aggressive_non_Infiltration_WRP0_UBF0"
